date,shape,latitude,longitude
2006-04,,31.7586111,-106.4863889
2006-04,,35.20105,-91.831833
2006-04,,39.2902778,-76.6125000
2006-04,,38.7522222,-121.2869444
2006-04,,38.8338889,-104.8208333
2006-04,,33.639099,-112.395758
2006-04,,40.242028,-75.555339
2006-04,,36.8525000,-121.4005556
2006-04,,34.0522222,-118.2427778
2006-04,,33.4052778,-86.8113889
2006-04,,38.6858333,-121.0811111
2006-04,,47.6816667,-122.2075000
2006-04,triangle,29.8830556,-97.9411111
2006-04,triangle,30.4211111,-87.2169444
2006-04,triangle,40.3336111,-75.6377778
2006-04,triangle,40.3355556,-75.9272222
2006-04,triangle,39.8077778,-87.4950000
2006-04,triangle,39.7391667,-104.9841667
2006-04,triangle,39.7558333,-77.5780556
2006-04,triangle,49.25,-123.133333
2006-04,triangle,34.2569444,-85.1647222
2006-04,triangle,51.833333,-2.166667
2006-04,light,43.810556,-70.416944
2006-04,light,33.8388889,-83.9008333
